City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
5,Sao Filipe,CV,77.29,few clouds,14.8961,-24.4956,Tortuga B&B
6,Ladario,BR,89.6,few clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
11,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
15,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
17,Birao,CF,99.37,broken clouds,10.2849,22.7882,
21,Presidencia Roque Saenz Pena,AR,84.99,overcast clouds,-26.7852,-60.4388,Hotel Gualok
26,Kavieng,PG,77.09,heavy intensity rain,-2.5744,150.7967,Nusa Island Retreat
27,Vanimo,PG,78.35,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
33,San Policarpo,PH,81.82,broken clouds,12.1791,125.5072,JM Lodge
36,Vettavalam,IN,82.09,broken clouds,12.1,79.25,"ADW Boys Hostel, Vettavalam"
40,Miri,MY,80.6,light rain,4.4148,114.0089,"Mega Hotel, Miri"
43,Humberto De Campos,BR,84.6,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
45,East London,ZA,75.2,clear sky,-33.0153,27.9116,Tu Casa
46,Meulaboh,ID,77.92,overcast clouds,4.1363,96.1285,Kost Pria
47,Saint-Philippe,RE,82.4,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
51,Rikitea,PF,77.13,scattered clouds,-23.1203,-134.9692,Pension Maro'i
53,Hithadhoo,MV,83.75,broken clouds,-0.6,73.0833,Scoop Guest House
54,Poum,NC,78.93,overcast clouds,-20.2333,164.0167,Gîte kajeon
56,Fare,PF,80.74,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
57,Kieta,PG,78.3,light rain,-6.2167,155.6333,Uruna Bay Retreat
58,Nieuw Amsterdam,SR,87.01,scattered clouds,5.8833,-55.0833,Hotel Stardust
60,Risod,IN,88.92,clear sky,19.9667,76.7833,Nikhil vitthal Parbat
61,Pisco,PE,75.0,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
62,Matara,LK,78.1,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
66,Georgetown,MY,86.0,light rain,5.4112,100.3354,Cititel Penang
68,General Pico,AR,80.15,clear sky,-35.6566,-63.7568,Hotel Malargue
72,Inhambane,MZ,80.6,few clouds,-23.865,35.3833,Oceano
73,Santa Maria,BR,78.8,clear sky,-29.6842,-53.8069,Hotel Morotin
83,Jatibonico,CU,77.49,scattered clouds,21.9419,-79.17,"Hostel ""Los Tomasos"""
87,Ilhabela,BR,76.69,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
90,Bredasdorp,ZA,75.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
91,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
92,Santa Rosa,PH,84.2,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
95,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
96,Port-Gentil,GA,87.8,light rain,-0.7193,8.7815,Fengshui Residence
97,Rabaul,PG,78.46,moderate rain,-4.1967,152.1721,Rabaul Hotel
101,Harper,LR,83.75,light rain,4.375,-7.7169,Screensaver
104,Arraial Do Cabo,BR,82.4,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
109,Bambous Virieux,MU,81.0,few clouds,-20.3428,57.7575,Casa Tia Villa
