City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,-15.93,98,94,7.81,overcast clouds
1,Hervey Bay,AU,-25.2986,152.8535,73.0,97,100,5.99,overcast clouds
2,Touros,BR,-5.1989,-35.4608,86.0,66,40,14.97,scattered clouds
3,Busselton,AU,-33.65,115.3333,64.0,89,0,1.99,clear sky
4,Sitka,US,57.0531,-135.33,35.6,93,90,8.05,light rain
5,Sao Filipe,CV,14.8961,-24.4956,77.29,63,17,1.23,few clouds
6,Ladario,BR,-19.0047,-57.6017,89.6,62,20,8.05,few clouds
7,Mataura,NZ,-46.1927,168.8643,55.99,70,39,3.0,scattered clouds
8,Alamosa,US,37.4695,-105.87,44.6,45,1,1.1,clear sky
9,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,20,10.36,few clouds
10,Upernavik,GL,72.7868,-56.1549,-12.15,74,0,11.56,clear sky
11,Vaini,TO,-21.2,-175.2,75.2,83,75,5.75,broken clouds
12,Jamestown,US,42.097,-79.2353,52.0,49,1,10.36,clear sky
13,Tiksi,RU,71.6872,128.8694,-21.19,100,76,4.68,broken clouds
14,Hermanus,ZA,-34.4187,19.2345,70.0,82,86,3.0,overcast clouds
15,Olinda,BR,-8.0089,-34.8553,82.4,65,40,8.05,scattered clouds
16,Taoudenni,ML,22.6783,-3.9836,101.01,9,4,16.4,clear sky
17,Birao,CF,10.2849,22.7882,99.37,9,51,9.78,broken clouds
18,Bugulma,RU,54.55,52.8,31.35,92,100,13.49,overcast clouds
19,Berlevag,NO,70.8578,29.0864,33.8,93,75,29.93,light rain
20,Dryden,CA,49.7833,-92.7503,46.4,36,1,13.8,clear sky
21,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,84.99,53,100,1.99,overcast clouds
22,Paamiut,GL,61.994,-49.6678,37.26,85,100,23.04,overcast clouds
23,Hasaki,JP,35.7333,140.8333,64.4,94,75,8.05,broken clouds
24,Ossora,RU,59.2353,163.0719,13.57,93,100,27.6,snow
25,Lavrentiya,RU,65.5833,-171.0,-6.65,83,100,8.95,overcast clouds
26,Kavieng,PG,-2.5744,150.7967,77.09,91,100,8.28,heavy intensity rain
27,Vanimo,PG,-2.6741,141.3028,78.35,88,100,0.45,overcast clouds
28,Chapais,CA,49.7834,-74.8492,33.8,55,90,2.73,overcast clouds
29,Castro,BR,-24.7911,-50.0119,71.91,56,57,6.49,broken clouds
30,Punta Arenas,CL,-53.15,-70.9167,44.6,57,0,14.97,clear sky
31,Bilibino,RU,68.0546,166.4372,-21.57,99,71,3.53,broken clouds
32,Bluff,NZ,-46.6,168.3333,55.99,70,70,3.0,light rain
33,San Policarpo,PH,12.1791,125.5072,81.82,69,83,11.5,broken clouds
34,Severo-Kurilsk,RU,50.6789,156.125,28.89,81,84,14.36,broken clouds
35,Borzna,UA,51.2546,32.4269,43.16,62,81,6.2,broken clouds
36,Vettavalam,IN,12.1,79.25,82.09,76,67,5.75,broken clouds
37,Mayya,RU,61.7333,130.2811,-11.2,70,0,6.71,clear sky
38,Kapaa,US,22.0752,-159.319,73.4,68,90,19.57,light rain
39,Abu Kamal,SY,34.4506,40.9171,70.61,29,0,7.23,clear sky
40,Miri,MY,4.4148,114.0089,80.6,78,40,6.91,light rain
41,Oranjemund,NA,-28.55,16.4333,65.82,88,15,17.58,few clouds
42,Airai,TL,-8.9266,125.4092,60.28,96,100,4.5,overcast clouds
43,Humberto De Campos,BR,-2.5983,-43.4611,84.6,74,85,8.46,overcast clouds
44,Port Elizabeth,ZA,-33.918,25.5701,69.8,64,0,19.57,clear sky
45,East London,ZA,-33.0153,27.9116,75.2,50,0,3.44,clear sky
46,Meulaboh,ID,4.1363,96.1285,77.92,86,100,2.3,overcast clouds
47,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,0,1.14,clear sky
48,Nyurba,RU,63.2842,118.3319,-13.58,100,98,2.91,overcast clouds
49,Avarua,CK,-21.2078,-159.775,80.6,83,75,12.66,broken clouds
50,Fortuna,US,40.5982,-124.1573,50.0,93,90,3.44,overcast clouds
51,Rikitea,PF,-23.1203,-134.9692,77.13,69,31,14.76,scattered clouds
52,Ostrovnoy,RU,68.0531,39.5131,32.25,86,100,21.09,overcast clouds
53,Hithadhoo,MV,-0.6,73.0833,83.75,75,69,17.36,broken clouds
54,Poum,NC,-20.2333,164.0167,78.93,79,100,23.31,overcast clouds
55,Juneau,US,58.3019,-134.4197,35.6,80,90,8.05,light snow
56,Fare,PF,-16.7,-151.0167,80.74,77,18,10.22,light rain
57,Kieta,PG,-6.2167,155.6333,78.3,82,94,3.71,light rain
58,Nieuw Amsterdam,SR,5.8833,-55.0833,87.01,70,40,6.91,scattered clouds
59,Saint Pete Beach,US,27.7253,-82.7412,71.01,39,4,3.0,clear sky
60,Risod,IN,19.9667,76.7833,88.92,12,2,7.87,clear sky
61,Pisco,PE,-13.7,-76.2167,75.0,83,92,4.61,overcast clouds
62,Matara,LK,5.9485,80.5353,78.1,83,69,8.5,broken clouds
63,Qaanaaq,GL,77.484,-69.3632,-12.93,67,15,6.8,few clouds
64,Uvalde,US,29.3669,-99.767,62.01,88,90,10.36,overcast clouds
65,Thompson,CA,55.7435,-97.8558,23.0,58,20,4.61,few clouds
66,Georgetown,MY,5.4112,100.3354,86.0,74,20,6.91,light rain
67,Saint George,US,37.1041,-113.5841,55.4,26,1,2.91,clear sky
68,General Pico,AR,-35.6566,-63.7568,80.15,45,0,15.21,clear sky
69,Turukhansk,RU,65.8167,87.9833,22.96,93,100,18.79,light snow
70,Port Alfred,ZA,-33.5906,26.891,69.01,75,0,10.89,clear sky
71,Saint Anthony,US,45.0205,-93.218,66.99,29,1,11.5,clear sky
72,Inhambane,MZ,-23.865,35.3833,80.6,50,20,6.91,few clouds
73,Santa Maria,BR,-29.6842,-53.8069,78.8,69,0,6.91,clear sky
74,Zhigansk,RU,66.7697,123.3711,-22.2,99,52,5.95,broken clouds
75,Vizinga,RU,61.0749,50.1031,28.13,98,100,1.34,light snow
76,Tyukhtet,RU,56.5389,89.3011,28.53,99,89,4.27,overcast clouds
77,Beringovskiy,RU,63.05,179.3167,-12.14,97,25,6.69,scattered clouds
78,Andijon,UZ,40.7821,72.3442,48.0,55,100,1.99,overcast clouds
79,Mulchen,CL,-37.7167,-72.2333,66.2,59,0,5.28,clear sky
80,Shalakusha,RU,62.2247,40.2539,33.69,84,100,9.42,overcast clouds
81,Palmer,US,42.1584,-72.3287,54.0,27,20,4.61,few clouds
82,Bam,IR,29.106,58.357,69.24,12,67,7.49,broken clouds
83,Jatibonico,CU,21.9419,-79.17,77.49,44,27,18.28,scattered clouds
84,Ushuaia,AR,-54.8,-68.3,42.8,75,20,6.91,few clouds
85,Stykkisholmur,IS,65.0757,-22.7297,17.71,52,100,22.64,overcast clouds
86,Laguna,US,38.421,-121.4238,55.0,87,1,3.53,clear sky
87,Ilhabela,BR,-23.7781,-45.3581,76.69,76,98,5.37,overcast clouds
88,Yellowknife,CA,62.456,-114.3525,10.0,66,75,5.75,broken clouds
89,Sydney Mines,CA,46.2367,-60.2177,37.99,100,90,23.02,mist
90,Bredasdorp,ZA,-34.5322,20.0403,75.2,57,86,14.97,overcast clouds
91,Salalah,OM,17.0151,54.0924,82.4,78,0,6.91,clear sky
92,Santa Rosa,PH,14.3122,121.1114,84.2,65,20,6.91,few clouds
93,Tunceli,TR,39.1083,39.5471,59.0,41,40,12.66,scattered clouds
94,Mahanje,TZ,-9.9333,35.3333,67.19,92,62,2.66,light rain
95,Carnarvon,AU,-24.8667,113.6333,78.8,73,43,14.97,scattered clouds
96,Port-Gentil,GA,-0.7193,8.7815,87.8,70,20,12.66,light rain
97,Rabaul,PG,-4.1967,152.1721,78.46,81,99,3.42,moderate rain
98,Kahului,US,20.8947,-156.47,69.8,94,75,11.5,light rain
99,Barrow,US,71.2906,-156.7887,-11.2,70,1,12.66,clear sky
100,Lebu,CL,-37.6167,-73.65,62.49,59,0,6.93,clear sky
101,Harper,LR,4.375,-7.7169,83.75,71,59,5.7,light rain
102,Longyearbyen,SJ,78.2186,15.6401,22.89,71,94,35.08,overcast clouds
103,Kaitangata,NZ,-46.2817,169.8464,64.99,42,43,24.0,scattered clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,65,40,14.97,scattered clouds
105,Dunedin,NZ,-45.8742,170.5036,54.0,90,31,3.0,scattered clouds
106,Geraldton,AU,-28.7667,114.6,73.4,83,40,16.11,scattered clouds
107,Andenes,NO,69.3143,16.1194,33.01,64,75,13.8,light snow
108,Ilulissat,GL,69.2167,-51.1,15.8,53,20,21.18,few clouds
109,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,20,8.05,few clouds
110,Sechura,PE,-5.5569,-80.8222,79.88,61,63,5.77,broken clouds
111,Souillac,MU,-20.5167,57.5167,80.6,78,20,8.05,few clouds
112,Sorong,ID,-0.8833,131.25,81.75,80,46,5.75,scattered clouds
113,Brigantine,US,39.4101,-74.3646,53.6,43,75,4.61,broken clouds
114,Lorengau,PG,-2.0226,147.2712,80.6,81,99,8.21,overcast clouds
115,Cape Town,ZA,-33.9258,18.4232,71.6,68,20,13.8,few clouds
116,Atuona,PF,-9.8,-139.0333,80.29,79,77,11.07,broken clouds
117,Panguna,PG,-6.3164,155.4848,68.14,95,100,2.04,overcast clouds
118,Cozumel,MX,20.5083,-86.9458,80.6,54,1,14.97,clear sky
119,Butaritari,KI,3.0707,172.7902,81.23,79,37,9.64,light rain
120,Alofi,NU,-19.0595,-169.9187,71.6,100,97,2.3,overcast clouds
121,Oktyabrskiy,RU,54.4815,53.471,33.15,96,100,9.6,light snow
122,Chokurdakh,RU,70.6333,147.9167,-26.95,100,19,4.97,few clouds
123,Dingle,PH,10.9995,122.6711,76.17,85,51,7.36,broken clouds
124,Jinchang,CN,38.4953,102.1739,45.55,66,85,2.64,overcast clouds
125,Mar Del Plata,AR,-38.0023,-57.5575,73.99,73,40,11.5,scattered clouds
126,Saskylakh,RU,71.9167,114.0833,-26.46,100,22,3.15,few clouds
127,Nikolskoye,RU,59.7035,30.7861,42.8,65,20,13.42,few clouds
128,Timmins,CA,48.4669,-81.3331,42.8,56,20,6.91,few clouds
129,Anjozorobe,MG,-18.4,47.8667,69.8,83,40,2.3,light rain
130,Kodiak,US,57.79,-152.4072,32.0,80,1,3.44,clear sky
131,Port Hardy,CA,50.6996,-127.4199,41.0,93,40,8.05,scattered clouds
132,Bethel,US,41.3712,-73.414,52.0,29,90,5.5,overcast clouds
133,Maragogi,BR,-9.0122,-35.2225,84.22,66,40,9.08,scattered clouds
134,Tasiilaq,GL,65.6145,-37.6368,28.4,43,75,2.3,broken clouds
135,Waddan,LY,29.1614,16.139,89.26,6,7,17.43,clear sky
136,Caravelas,BR,-17.7125,-39.2481,83.43,60,84,9.75,broken clouds
137,Albany,US,42.6001,-73.9662,51.01,23,25,1.99,scattered clouds
138,Hualmay,PE,-11.0964,-77.6139,75.22,71,43,8.59,scattered clouds
139,Choix,MX,26.7092,-108.3219,85.71,11,0,2.04,clear sky
140,Kysyl-Syr,RU,63.8986,122.7617,-21.53,99,79,2.91,broken clouds
141,Ozernovskiy,RU,51.5,156.5167,29.01,87,100,25.72,light snow
142,Hobart,AU,-42.8794,147.3294,57.2,62,75,9.22,broken clouds
143,Big Spring,US,32.2504,-101.4787,63.0,77,90,10.36,overcast clouds
144,Karratha,AU,-20.7377,116.8463,84.27,47,2,6.87,clear sky
145,Russell,US,32.3502,-85.1999,64.99,58,1,2.86,clear sky
146,Gizo,SB,-8.103,156.8419,82.27,76,100,2.64,moderate rain
147,Miguel Hidalgo,MX,19.4225,-99.2028,64.4,47,1,4.61,clear sky
148,Adrar,MR,20.5022,-10.0711,97.09,11,56,8.93,broken clouds
149,Codrington,AU,-38.2667,141.9667,57.87,67,84,7.31,broken clouds
150,La Baule-Escoublac,FR,47.2922,-2.364,61.0,44,0,10.36,clear sky
151,Ayan,RU,56.45,138.1667,4.5,79,1,9.35,clear sky
152,Ville-Marie,CA,47.3335,-79.433,44.6,57,1,10.36,clear sky
153,Torbay,CA,47.6666,-52.7314,42.01,100,90,16.11,mist
154,Hokitika,NZ,-42.7167,170.9667,61.84,93,99,4.88,overcast clouds
155,Vao,NC,-22.6667,167.4833,76.1,61,85,21.68,overcast clouds
156,Namatanai,PG,-3.6667,152.4333,77.86,85,97,6.8,moderate rain
157,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,20,9.22,few clouds
158,Saldanha,ZA,-33.0117,17.9442,75.2,60,72,17.27,broken clouds
159,Faanui,PF,-16.4833,-151.75,81.1,77,25,8.84,light rain
